dateres,mpnumber,rec_acres,new_units,parcelct,shape_area,pet_no,dev_type,desc_lpd,objectid,unit_price,petitioner,rehab_unit,netarea,orig_fid,nezname,inactive,gen_bound,Shape__Area,Shape__Length
2001/03/28 00:00:00+00,1970/01/01 00:00:00+00,16.7,,99,17.51,,rehab,60 houses (rehab),32,"$48,000",West Detroit Inter-Faith Community Organization,60,11.18,1,Prevost Gardens,1,"n-Westfield, e-Prevost, s-Kramer, w-Rutherford",129699.4921875,1824.11217547789
2001/07/25 00:00:00+00,1970/01/01 00:00:00+00,22.88,,146,26.87,,mix,numerous condo's (rehab) & townhomes (new),33,market rate,Lenton Property Development Co./Palmer Development Group LLC,,18.37,1,Woodward/Brush/Hendrie/Ferry,,"n-Hendrie, e-Brush, s-Ferry, w-Woodward",199083.47265625,1843.98682613088
2001/09/17 00:00:00+00,1970/01/01 00:00:00+00,116.71,126,1004,116.48,,new,126 condo's,34,market rate,Farbman Group,,79.37,1,Algonquin (Area A),1,"Clairpointe, Emerson, Kitchener, Continental, Jefferson, Avondale",862953.109375,4679.23852227727
2001/09/17 00:00:00+00,1970/01/01 00:00:00+00,25.74,,149,24.69,,new,condo's,35,market rate,Farbman Group,,11.66,1,Algonquin (Area B),,"Emerson, alley east of Eastlawn, Freud",182947.37109375,2999.69469530938
2001/09/19 00:00:00+00,1970/01/01 00:00:00+00,71.55,93,248,77.44,,mix,"93 houses, townhouses & duplexes (new) & houses (rehab)",36,"$150,000-$240,000",Scripps Park LLC,,60.94,1,Woodbridge Estates,,"n-Canfield, e-Lodge, s-MLK, w-Trumbull",573368.328125,3129.99940516947
2001/10/10 00:00:00+00,1970/01/01 00:00:00+00,4.58,45,59,5.84,,new,45 condo's,37,"$170,000-$281,000",Ram Development Corp./Peter Cummings,,3.92,1,3600 Woodward Area,,3600 Woodward,43215.14453125,853.580978614703
2001/11/07 00:00:00+00,1970/01/01 00:00:00+00,17.65,63,103,20.54,,mix,"63 units (new) houses, condos, lofts & rehab",38,"$119,000-$275,000",Cass Avenue Development (Joel Landy),,13.32,1,Peterboro-Charlotte,,"in general: n-Peterboro, e-Woodward, s-Temple, w-Cass",152099.23046875,2344.76926137047
2001/11/28 00:00:00+00,1970/01/01 00:00:00+00,7.85,,51,9.26,,rehab,condos (rehab),39,market rate,Nailah LLC (Julio Bateau),,4.57,1,East Ferry Street,,"n-E. Ferry, e-Beabien, s-I-75, w-Brush",68588.484375,1603.48192230001
2002/09/18 00:00:00+00,1970/01/01 00:00:00+00,452.25,,2951,480.19,,mix,houses (new) & houses (rehab),40,market rate and low/mod,P&DD,,314.98,1,Far East Side,,"n-E. Warren, e-Lakewood & Alter, s-Kercheval, w-Anderdon & Conner",3559695.73046875,15746.4558128577
2002/10/23 00:00:00+00,1970/01/01 00:00:00+00,245.6,125,1302,251.26,,mix,"125 units (new) houses, condos, & townhomes & 50-100 houses (rehab)",41,"$80,000-$150,000",Bagley Housing Association,50,164.67,1,Hubbard Farms,,"n-Brandon&Toledo, e-I-75, s-I-75, w-west side of Clark",1858790.10546875,9210.41950442689
